species;density;Q factor;Young modulus;sound radiation coefficient
;kg/m3;;Gpa;
Jura spruce;348,3;153,1;9,3;14,8
Jura spruce;348,3;151,1;9,3;14,8
Crelicam ebony;950,5;114,7;16,1;4,3
Jura spruce;451,7;166,1;12,9;11,8
European spruce;405,6;156,2;11,7;13,3
European spruce;365,9;167,1;10,6;14,7
European spruce;419,9;167,1;13,8;13,6
French walnut;602,7;98,1;7,3;5,8
Pao Santos;835,8;77;10,3;4,2
Pao Santos;883,5;141,1;17,3;5
Pao Santos;761,6;99,4;13,9;5,6
Pao Santos;734,9;89,4;10;5
